Country Name|Country Code|Indicator Name|Indicator Code|1960|1961|1962|1963|1964|1965|1966|1967|1968|1969|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020
Aruba|ABW|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||18889606.54|22450000.35|27488341.61|32452646.2|35920915.01|41009364.14|45014828.57|50532771.89|58151603.58|61927725.11|64625409.14|71581659.63|78734047.5|74771117.43|75737587.06|87420448.77|84982241.15|99147213.67|115687959.8|105610662.3|116310379.1|96573513.97|119073201.1|133276089.4|148064703.9|132871173.2|165994889.5|183931721.6|170427393.9|189238131.3|183587592.7|187156431.2|||
Afghanistan|AFG|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||18161689.93|18688866.53|16311089.38|23024416.28|33405361.44|29013333.33|39607770.28|42248887.77|51136157.47|52860413.05|59464851.95|60375754.93||||||||||||||||||||||||||||346418852.3|450654028.7|509289820.1|442344606.9|576373083.4|610844598.4|521148638.1|507011879.5|530307036.8|510460587.9||
Angola|AGO|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD||||||||||||||||||||||||||320855615|447860962.6|354278074.9|334298242|501447363|441176470.6|468499208|154550693.8|143042164|85858467.12|210815317.7|257568357.1|297374094.2|155048943.1|143416748.2|222717171|214983478.1|387686651.8|444784089.1|566607736.8|861381734.7|1173559795|1613246089|2285783734|2102908337|2702941027|3644697428|4199430443|4527110075|4885984052|3937214124|3421850990|4091869979|3338795493||
Albania|ALB|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||52095064.33|53156603.74|58727935|58273495|57440215|63083720|56746305|30180052.78|17278099.72|34138033.13|53053042.71|69261077.51|93000700.84|65636664.93|74568106.44|94188678.77|103579000.2|118475130.2|131261434.6|170922545.9|219181776.6|246818247|276873213.3|334226995.7|396876680.1|366279171.8|367558315.2|404289189.6|386187948.5|413359938.9|420858697.3|359944583.8|430652277.6|431032412|499584870.7||
Andorra|AND|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Arab World|ARB|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
United Arab Emirates|ARE|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Argentina|ARG|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||425548452|759709053.4|615591004|896277751.1|1308238022|903517860.4|511850028.2|845088048.3|923463585.9|1372523303|1678304628|1457990929|1188657439|1471082614|1799923245|1087742527|1271066647|1271314296|1402156317|772414088|1351500271|3863000429|6960447982|8414771863|10403473787|8795160339|9332669525|9105303471|11514743505|12257032036|12726174569|12839722431|3988842928|4579703000|4829932414|6147752543|8273915150|10805523913|14982263472|15519831021|18490410978|25069236249|27749973232|28254625478|26250653336|30652511565|27576672508|31276833378|25031070131||
Armenia|ARM|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD|||||||||||||||||||||||||||||||76084762.23|72316663.2|37215680.32|41927984.64|34953395.62|40473694.21|27908884.27|31930397.57|43341457.27|43188788.13|45823806.44|51896798.39|59776251.38|72036935.68|94501156.54|132249832.6|176705202.3|261573904.9|339528924.1|252310803.1|277391346.5|305311195.9|326853743.1|301002327|254766307.9|296117157.1|263833077.5|273378560.7|289052564.1||
American Samoa|ASM|Adjusted savings: education expenditure (current US$)|NY.ADJ.AEDU.CD||||||||||||||8891096.004|9055745.93|7961999.993|8056085.665|9314481.528|9961320.523|12419308.7|14959621.85|16382667.64|17770431.3|19522776.94|20957583.44|22310064.97|||||||||||||||||||||||||||||||||||
